Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",84,2933,32,48,0,644,2562000000,0,234,7028000000,0
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",4,3368,40,44,0,237,2850000000,0,300,2251000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,9570,32,0,0,28682,113681000000,0,34001,95897000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,9673,32,0,0,30749,112504000000,0,34009,101722000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,10349,32,0,0,36330,104934000000,0,33937,112335000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,10460,32,0,0,35470,103814000000,0,33937,108504000000,0
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",84,54783,32,48,0,20552,358486000000,0,613723,12004000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,124593,32,0,0,174557,33123000000,0,128969,44832000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,124848,32,0,0,168623,33000000000,0,128752,43219000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",28,277541,24,0,0,3061780,21000000,0,190,353017000000,0
