Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,327424,8,0,0,4391752,5000000,0,60,429217000000,0
"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, thrust::detail::normal_iterator<thrust::device_ptr<unsigned long>>, int*, int, thrust::maximum<unsigned long>>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::GridEvenShare<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600)",4,368429,29,44,0,44011,381658000000,0,4394195,3822000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>, unsigned long)",20,727416,10,0,0,4393070,193299000000,17576000,4394044,193256000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, unsigned long, unsigned long, unsigned long, unsig",28,952651,32,0,0,3298103,209311000000,23984914,6231306,110784000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, unsigned long, unsigned long, unsigned long, unsig",28,980300,30,0,0,3099533,203199000000,23984914,6224925,101177000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double> const , unsigned long)",20,1084601,10,0,0,4519834,259281000000,17576000,8788053,133352000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, unsigned long, unsigned long, unsigned long, unsig",28,1256194,32,0,0,3371213,231381000000,23984914,9083141,85876000000,0
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",28,1580702,42,0,0,7740696,70059000000,416215028,3460749,156703000000,30830742
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",28,1585466,47,0,0,7380937,71293000000,416215028,3532302,148971000000,30830742
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",28,1889552,47,0,0,7347137,188887000000,416215028,11153565,124425000000,30830742
"void alsfvm::equation::_GLOBAL__N__63_tmpxft_0000c402_00000000_10_CUDACellComputer_compute_61_cpp1_ii_c792cca6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>>(int=3, alsfvm::equation::_GLOBAL__N__63_tmpxft_0000c402_00000000_10_CUDACellComputer_compute_61_cpp1_ii_c792cca6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews>, unsigned long, unsigned long*)",4,2232765,24,0,0,4414519,314875000000,351520000,21970092,63268000000,35152000
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",28,2967043,77,0,0,3915874,67713000000,856764507,6278445,42232000000,67944256
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",28,3351808,77,0,0,4700411,58853000000,954601549,6164635,44874000000,67944256
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",28,3351886,77,0,0,3738049,58852000000,954587715,6164603,35686000000,67944256
