Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, unsigned long, unsigned long, unsigned long, unsig",63,7584,32,0,0,13163,65476000000,48914,15518,55537000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, unsigned long, unsigned long, unsigned long, unsig",63,7702,32,0,0,13397,61798000000,48914,14875,55656000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, unsigned long, unsigned long, unsigned long, unsig",63,7725,30,0,0,13518,61566000000,48914,14864,55993000000,0
"void alsfvm::equation::_GLOBAL__N__63_tmpxft_0000c402_00000000_10_CUDACellComputer_compute_61_cpp1_ii_c792cca6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>>(int=3, alsfvm::equation::_GLOBAL__N__63_tmpxft_0000c402_00000000_10_CUDACellComputer_compute_61_cpp1_ii_c792cca6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews>, unsigned long, unsigned long*)",9,13521,24,0,0,27739,138151000000,933120,58376,65648000000,93312
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",63,16463,42,0,0,32014,24985000000,1266932,12855,62224000000,93846
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",63,16488,47,0,0,32183,28211000000,1266932,14536,62459000000,93846
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",63,16620,47,0,0,32114,27789000000,1266932,14433,61831000000,93846
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",63,19620,77,0,0,15804,17587000000,1807792,10784,25775000000,149312
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",63,21490,77,0,0,14675,15036000000,1907958,10099,21851000000,149312
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",63,21755,77,0,0,15257,14666000000,1907999,9971,22441000000,149312
