Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",84,4761,34,48,0,1929000000,0,25684000000,287,0,3822
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",4,5664,27,44,0,2434000000,0,27923000000,431,0,4942
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,10329,23,0,0,104933000000,0,140752000000,33872,0,45434
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,10442,22,0,0,103803000000,0,136811000000,33875,0,44647
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,13721,26,0,0,79168000000,0,99476000000,33947,0,42655
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,13817,26,0,0,78628000000,0,96653000000,33951,0,41734
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",84,39680,32,48,0,508497000000,0,32236000000,630551,0,39974
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,75581,22,0,0,107613000000,0,88851000000,254178,0,209863
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",25,76034,22,0,0,107351000000,0,91958000000,255074,0,218500
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",28,219185,24,0,0,14815000000,0,461128000000,101482,0,3158528
