Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",168,5393,38,48,0,1701000000,0,1357000000,286,0,228
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, thrust::detail::normal_iterator<thrust::pointer<int, thrust::cuda_cub::tag, thrust::use_default, thrust::use_default>>, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",4,6396,28,44,0,2091000000,0,1580000000,418,0,316
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",45,10403,23,0,0,104198000000,0,81226000000,33876,0,26407
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",45,10501,22,0,0,103217000000,0,94938000000,33873,0,31156
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",45,13906,27,0,0,78056000000,0,65114000000,33923,0,28298
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",45,14016,27,0,0,77428000000,0,61555000000,33916,0,26963
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",168,38909,32,48,0,507471000000,0,9965000000,617044,0,12117
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",45,75281,22,0,0,107365000000,0,70828000000,252585,0,166627
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",45,75444,22,0,0,107054000000,0,72047000000,252397,0,169862
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_00004c12_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_28b6e896::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_00004c12_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_28b6e896::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",56,218048,24,0,0,13979000000,0,447554000000,95263,0,3049645
