Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",777,3129,32,48,0,139,1785000000,0,174,1424000000,0
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",37,3315,40,44,0,161,2077000000,0,215,1561000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",190,5545,32,0,0,10819,51044000000,0,8845,62435000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",190,5590,32,0,0,10697,50627000000,0,8845,61226000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",190,5826,32,0,0,8074,48933000000,0,8909,44345000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",190,5830,32,0,0,8431,48946000000,0,8917,46279000000,0
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",777,11632,32,48,0,9651,224404000000,0,81574,26550000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",190,25804,32,0,0,61491,31028000000,0,25021,76254000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",190,25897,32,0,0,61479,30845000000,0,24963,75967000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",259,45208,24,0,0,398599,118000000,0,168,282142000000,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,48138,8,0,0,572056,45000000,0,68,380277000000,0
"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, thrust::detail::normal_iterator<thrust::device_ptr<unsigned long>>, int*, int, thrust::maximum<unsigned long>>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::GridEvenShare<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600)",37,59022,29,44,0,43570,311854000000,0,575207,23621000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>, unsigned long)",185,104568,10,0,0,573621,175969000000,2299968,575027,175539000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, unsigned long, unsigned long, unsigned long, unsig",259,150693,32,0,0,399624,171531000000,3004617,807775,84860000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double> const , unsigned long)",185,155583,10,0,0,574168,236532000000,2299968,1150020,118092000000,0
