Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",126,8902,24,0,0,60905,609000000,0,169,218915000000,0
"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, thrust::detail::normal_iterator<thrust::device_ptr<unsigned long>>, int*, int, thrust::maximum<unsigned long>>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::GridEvenShare<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600)",18,13112,29,44,0,25314,192394000000,0,78834,61779000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::multiplyKernel<double>, unsigned long)",90,16191,10,0,0,77418,155436000000,314432,78647,153006000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, unsigned long, unsigned long, unsigned long, unsig",126,23299,32,0,0,62174,150383000000,378788,109496,85390000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, unsigned long, unsigned long, unsigned long, unsig",126,23728,30,0,0,62482,143816000000,378788,106643,84261000000,0
"void _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double>(double*, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double> const *, _GLOBAL__N__64_tmpxft_0000c3b1_00000000_10_vector_operations_compute_61_cpp1_ii_0f66b009::addKernel<double> const , unsigned long)",90,24106,10,0,0,80046,208750000000,314432,157254,106259000000,0
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(int=3, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, unsigned long, unsigned long, unsigned long, unsig",126,24567,32,0,0,62368,149048000000,378788,114429,81237000000,0
"void alsfvm::equation::_GLOBAL__N__63_tmpxft_0000c402_00000000_10_CUDACellComputer_compute_61_cpp1_ii_c792cca6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>>(int=3, alsfvm::equation::_GLOBAL__N__63_tmpxft_0000c402_00000000_10_CUDACellComputer_compute_61_cpp1_ii_c792cca6::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews>, unsigned long, unsigned long*)",18,52569,24,0,0,99810,239289000000,6288640,393105,60755000000,628864
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",126,53446,42,0,0,183048,44035000000,7935037,73550,109595000000,587780
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",126,53678,47,0,0,183477,47124000000,7935037,79050,109377000000,587780
"void alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>(int=3, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>, alsfvm::reconstruction::_GLOBAL__N__65_tmpxft_0000c6fe_00000000_10_ReconstructionCUDA_compute_61_cpp1_ii_d5fe5f64::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, al",126,54833,47,0,0,183942,50116000000,7935037,85877,107345000000,587780
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",126,70487,77,0,0,82920,50481000000,13366929,111196,37643000000,1109824
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",126,78632,77,0,0,74671,42732000000,14052567,105005,30387000000,1109824
"void alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__64_tmpxft_0000c646_00000000_10_NumericalFluxCUDA_compute_61_cpp1_ii_bc875401::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views",126,78858,77,0,0,74618,42582000000,14050863,104938,30279000000,1109824
