Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Write Transactions,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Read Transactions,Device Memory Write Throughput(bytes/sec),Floating Point Operations(Single Precision)
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",18,3096,40,44,0,121,1526000000,0,147,1254000000,0
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",378,3136,32,48,0,131,1481000000,0,145,1340000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",95,4599,32,0,0,3872,17018000000,0,2446,26942000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",95,4686,32,0,0,3809,16702000000,0,2446,26013000000,0
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",378,5082,32,48,0,3638,63714000000,0,10119,22907000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",95,5481,32,0,0,2953,14606000000,0,2502,17241000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",95,5519,32,0,0,2987,14553000000,0,2510,17318000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",95,8072,32,0,0,22372,18862000000,0,4758,88690000000,0
"void alsfvm::boundary::_GLOBAL__N__59_tmpxft_0000c3aa_00000000_10_BoundaryCUDA_compute_61_cpp1_ii_0f66b009::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",95,8125,32,0,0,22429,18737000000,0,4758,88326000000,0
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,8296,8,0,0,77965,324000000,0,84,300732000000,0
