Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, unsigned long, unsigned long, unsigned long, unsigne",259,92975,32,0,0,278862000000,3004617,139104000000,810232,0,404167
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, unsigned long, unsigned long, unsigned long, unsigne",259,99064,32,0,0,270481000000,3004617,130935000000,837348,0,405347
"void _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double>(double*, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double> const *, _GLOBAL__N__63_tmpxft_00007457_00000000_8_vector_operations_compute_61_cpp1_ii_efda9bfe::addKernel<double> const , unsigned long)",185,102916,10,0,0,357577000000,2299968,179812000000,1150018,0,578303
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::combineFluxDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, unsigned long, unsigned long, unsigned long, unsigne",259,105571,32,0,0,288076000000,3004617,122924000000,950399,0,405541
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=0, bool=1, unsigned long=2>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views, ",259,117793,77,0,0,221393000000,109685722,133479000000,814964,8609600,491346
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=0, bool=1, bool=0, unsigned long=1>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views, ",259,118346,77,0,0,220545000000,109697676,132920000000,815653,8609600,491585
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>(alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::ConstViews, alsfvm::equation::euler::Euler<int=3>, unsigned long=3, bool=1, bool=0, bool=0, unsigned long=0>, alsfvm::numflux::euler::HLL3<int=3>, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::computeFluxDevice<alsfvm::numflux::euler::HLL3<int=3>::Views, ",259,120783,77,0,0,229386000000,103761028,134589000000,865818,8609600,508007
"void alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=1, bool=0, bool=0>, alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, alsf",259,141301,44,0,0,147151000000,55681158,218049000000,649774,4124530,962838
"void alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>(int=3, alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=1, bool=0>, alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, alsf",259,143213,49,0,0,150145000000,55681158,215128000000,671965,4124530,962791
"void alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>(int=3, alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews, alsfvm::reconstruction::WENO2<alsfvm::equation::euler::Euler<int=3>>, unsigned long=3, bool=0, bool=0, bool=1>, alsfvm::reconstruction::_GLOBAL__N__64_tmpxft_0000779c_00000000_8_ReconstructionCUDA_compute_61_cpp1_ii_d4fb4fa9::reconstructDevice<alsfvm::equation::euler::Euler<int=3>::Views, alsf",259,168921,49,0,0,188501000000,55681158,182896000000,995065,4124530,965478
"void alsfvm::equation::_GLOBAL__N__62_tmpxft_0000751a_00000000_8_CUDACellComputer_compute_61_cpp1_ii_0e8fb31b::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>>(int=3, alsfvm::equation::_GLOBAL__N__62_tmpxft_0000751a_00000000_8_CUDACellComputer_compute_61_cpp1_ii_0e8fb31b::checkObeysConstraintsDevice<alsfvm::equation::euler::Euler<int=3>::ConstViews>, unsigned long, unsigned long*)",37,209326,26,0,0,439508000000,45999360,92116000000,2875027,4599936,602580
