Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",756,4228,38,48,0,963000000,0,840000000,127,0,111
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, thrust::detail::normal_iterator<thrust::pointer<int, thrust::cuda_cub::tag, thrust::use_default, thrust::use_default>>, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",18,4648,28,44,0,914000000,0,785000000,132,0,114
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",756,6177,32,48,0,52259000000,0,18442000000,10088,0,3560
"void thrust::cuda_cub::core::_kernel_agent<thrust::cuda_cub::__parallel_for::ParallelForAgent<thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>, thrust::cuda_cub::__uninitialized_fill::functor<thrust::device_ptr<unsigned long>, unsigned long>, unsigned long>(thrust::device_ptr<unsigned long>, unsigned long)",1,6280,8,0,0,152000000,0,357905000000,30,0,70239
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",185,7181,23,0,0,10651000000,0,17990000000,2390,0,4037
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",185,7289,22,0,0,10506000000,0,17574000000,2393,0,4003
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",185,9145,27,0,0,8553000000,0,12064000000,2444,0,3448
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_00004c12_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_28b6e896::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_00004c12_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_28b6e896::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",252,9425,24,0,0,14253000000,0,200180000000,4198,0,58961
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000012b0_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_09517c85::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",185,9554,27,0,0,8220000000,0,11686000000,2454,0,3489
"void thrust::cuda_cub::cub::DeviceReduceKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, thrust::detail::normal_iterator<thrust::device_ptr<unsigned long>>, int*, int, thrust::maximum<unsigned long>>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::GridEvenShare<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600)",18,11566,29,44,0,218027000000,0,85498000000,78805,0,30903
