Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Device Memory Read Throughput(bytes/sec),Floating Point Operations(Double Precision),Device Memory Write Throughput(bytes/sec),Device Memory Read Transactions,Floating Point Operations(Single Precision),Device Memory Write Transactions
"void cub::DeviceReduceSingleTileKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max, double>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*)",126,5848,34,48,0,1824000000,0,1440000000,333,0,263
"void thrust::cuda_cub::cub::DeviceReduceSingleTileKernel<thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*, int*, int, thrust::maximum<unsigned long>, int>(int, unsigned long, thrust::maximum<unsigned long>, thrust::cuda_cub::cub::DeviceReducePolicy<int, int, thrust::maximum<unsigned long>>::Policy600, int*)",6,6530,27,44,0,2034000000,0,1188000000,415,0,242
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",35,17301,23,0,0,158950000000,0,133410000000,85942,0,72133
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=1, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",35,17411,22,0,0,157941000000,0,139670000000,85938,0,75997
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",35,21448,26,0,0,128087000000,0,104551000000,85852,0,70076
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=0, bool=0, bool=1>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",35,21574,26,0,0,127321000000,0,111970000000,85842,0,75492
"void cub::DeviceReduceKernel<cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, double*, double*, int, cub::Max>(int, cub::Max, cub::DeviceReducePolicy<double, int, cub::Max>::Policy600, cub::GridEvenShare<cub::Max>, double*)",126,146734,32,48,0,566804000000,0,4666000000,2599049,0,21402
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=0, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",35,222993,22,0,0,94423000000,0,53830000000,657998,0,375122
"void alsfvm::boundary::_GLOBAL__N__58_tmpxft_000073f8_00000000_8_BoundaryCUDA_compute_61_cpp1_ii_3c418705::applyBoundaryConditionsDevice<alsfvm::boundary::Periodic, bool=1, bool=1, bool=0, bool=0>(alsfvm::memory::View<double>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",35,223293,22,0,0,94288000000,0,53606000000,657941,0,374067
"void alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>, unsigned long=3>(int=3, alsfvm::numflux::_GLOBAL__N__63_tmpxft_0000769a_00000000_8_NumericalFluxCUDA_compute_61_cpp1_ii_4971e9f0::makeZeroDevice<alsfvm::equation::euler::Euler<int=3>::Views, unsigned long=3>, unsigned long, unsigned long, unsigned long, unsigned long, alsutils::vec3<int>, alsutils::vec3)",42,888058,24,0,0,13052000000,0,450343000000,362241,0,12497872
